"","Gene","x","y"
"1115",2,7443,43545
"1116",2,7050,44844
"1117",2,8445,42450
"1118",2,8014,40378
"1119",2,5334,44609
"1120",2,8358,42241
"1121",2,7368,43992
"1122",2,9276,42269
"1123",2,7977,44528
"1124",2,6674,44918
"1125",2,7869,44289
"1126",2,5854,41339
"1127",2,8236,40448
"1128",2,9212,41759
"1129",2,9976,42579
"1130",2,6660,44457
"1131",2,6564,44912
"1132",2,6592,44184
"1133",2,6332,44729
"1134",2,7873,41063
"1135",2,6590,40627
"1136",2,8092,44776
"1137",2,6601,44932
"1138",2,9613,43059
"1139",2,7113,40802
"1140",2,7205,43905
"1141",2,8066,42506
"1142",2,7961,44666
"1143",2,5470,41930
"1144",2,9584,42805
"1145",2,6566,44855
"1146",2,9130,40421
"1147",2,8505,44874
"1148",2,6580,42926
"1149",2,7230,43831
"1150",2,5891,41814
"1151",2,5457,42803
"1152",2,8707,41791
"1153",2,5783,43165
"1154",2,9028,41878
"1155",2,8304,43740
"1156",2,6866,41584
"1157",2,8168,40267
"1158",2,8015,44599
"1159",2,8135,40543
"1160",2,7462,42045
"1161",2,8277,44618
"1162",2,7223,40077
"1163",2,8138,42901
"1164",2,5241,42084
"1165",2,6612,44266
"1166",2,5092,40916
"1167",2,6716,41059
"1168",2,8253,43810
"1169",2,5642,42872
"1170",2,8376,44348
"1171",2,7318,41851
"1172",2,6008,44867
"1173",2,7207,41557
"1174",2,9257,41790
"1175",2,5853,40410
"1176",2,8303,43082
"1177",2,8238,41714
"1178",2,6037,41234
"1179",2,6833,41859
"1180",2,6351,41869
"1181",2,5243,40716
"1182",2,5374,42757
"1183",2,9033,41831
"1184",2,7366,42797
"1185",2,8343,44093
"1186",2,8402,41075
"1187",2,9217,41692
"1188",2,6615,40371
"1189",2,6554,44426
"1190",2,6912,41215
"1191",2,5921,41333
"1192",2,6279,41523
"1193",2,8198,44629
"1194",2,8488,41958
"1195",2,8214,44778
"1196",2,8453,40868
"1197",2,7791,44167
"1198",2,8695,43610
"1199",2,6260,44730
"1200",2,9078,41167
"1201",2,6890,43894
"1202",2,7013,44681
"1203",2,8595,40025
"1204",2,9372,43762
"1205",2,8406,40886
"1206",2,5204,42623
"1207",2,9071,41355
"1208",2,6541,40444
"1209",2,8639,40378
"1210",2,8400,41630
"1211",2,8185,42729
"1212",2,7015,41015
"1213",2,8472,42598
"1214",2,7002,42005
"1215",2,8125,42367
"1216",2,9187,41685
"1217",2,6978,44621
"1218",2,6496,41631
"1219",2,8967,41899
"1220",2,9051,41690
"1221",2,6692,44687
"1222",2,7013,42552
"1223",2,9293,42016
"1224",2,6614,41848
"1225",2,5857,41355
"1226",2,7005,42906
"1227",2,8405,43750
"1228",2,5740,40255
"1229",2,9704,43111
"1230",2,7298,43486
"1231",2,6249,44794
"1232",2,7111,41829
"1233",2,8485,43812
"1234",2,6906,41326
"1235",2,7277,41901
"1236",2,8323,42443
"1237",2,6311,43395
"1238",2,7200,40499
"1239",2,6121,43237
"1240",2,5113,40945
"1241",2,6674,40361
"1242",2,8521,42355
"1243",2,7262,44138
"1244",2,8312,43417
"1245",2,7166,40331
"1246",2,5639,42839
